year,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
2010,20.270833333333332,19.039166666666667,19.039166666666667,7925369,6372510,1.2436809043846146,23.678648018729408,250391.25,12658580,50.55520111026244,33.267093667339346,71.02705396760761,32.067977929823826,68.46687666286337,1.1332674276493493,1.1688424800971247,1.5147201261798753,1.5622695806315234
2011,20.660833333333333,19.434166666666666,19.434166666666666,8226175,6626182,1.2414652963048707,24.126843479271574,254153.75,13125364,51.6434008941438,32.84906295526278,70.31327279314792,31.690934948448607,67.83430495825375,1.1190269113454396,1.1550996786514507,1.499498057260397,1.5478356297950329
2012,20.93583333333333,19.733333333333334,19.733333333333334,8567363,6928124,1.23660647528826,24.402367779021663,258871.75,13678422,52.83860444409249,32.54373358003691,70.46715635717054,31.445778478875642,68.08974709045555,1.1086256469876903,1.1461639953185447,1.5027797720224885,1.5536642799716074
2013,21.233333333333334,20.129166666666666,20.129166666666666,8835039,7113994,1.2419238756737776,24.99889268075008,262360.5,14199080,54.12049451041601,32.842112518891845,71.1004040454091,31.828679977511893,68.90640805555212,1.1187901397408655,1.1601203332665846,1.5162843870198848,1.5722987590897646
2014,21.581666666666667,20.6025,20.6025,9250208,7476332,1.237265546794872,25.49076342784135,267480.75,14788453,55.287915111648225,32.93931552524912,71.4433714686901,31.99984397841929,69.40571483757462,1.122101429932784,1.1663590726021846,1.5235984966393645,1.5836918857369433
2015,21.955833333333334,21.028333333333332,21.028333333333332,9699419,7859482,1.2341041050796986,25.951152489650926,273203,15372081,56.26615007887907,33.47646515532633,72.58220278621984,32.601854050883475,70.6859093679271,1.1403998176917975,1.1883016767689436,1.5478851679938168,1.6129032222187978
2016,22.571666666666665,21.531666666666666,21.531666666666666,9966108,8091239,1.2317159337401848,26.520896913315745,276516.25,15796804,57.127940943796254,33.77505380712235,72.75392252281083,33.02492360874823,71.13808751493224,1.1505714544668602,1.2037220962400554,1.5515472562622574,1.6232209729111646
2017,23.1725,22.049166666666668,22.049166666666668,10424372,8474410,1.2301000305625995,27.12268059054652,279750.5,16463149,58.84939973297635,33.82242683689301,73.3861651402339,33.191136463683186,72.01642370200919,1.1521852507342767,1.2097803717574998,1.5650304371594423,1.6432627503883968
2018,23.989166666666666,22.71,22.71,10957404,8899824,1.2311933359581044,27.960400659608553,284932.25,17343913,60.87030513393974,34.03578438461697,74.09652694846687,33.54064987446696,73.01861003725774,1.1594534287631886,1.2225197506725567,1.5801795848108533,1.6661305267789128
2019,24.74,23.509166666666665,23.509166666666665,11447915,9324960,1.2276637111580104,28.86135079623219,287918.25,18041554,62.66207161234135,34.50613334951337,74.91769232417501,34.11616240749892,74.07101029367104,1.175476203907775,1.243496548707909,1.5976917249324811,1.6901440788405784
2020,25.4075,24.691666666666666,24.691666666666666,11594682,9464644,1.2250520991597782,30.24857808175352,269087.25,17697402,65.76826661240918,35.68982702765719,77.5989553281393,35.38709168986433,76.94073006032187,1.2157995788069726,1.2898205214161005,1.6548722330461703,1.7556250254660775
2021,26.476666666666667,25.89,25.89,12545875,10312628,1.2165545969465785,31.496598514946918,280913.5,19720689,70.20199812397766,35.44945318829071,79.01241923122035,35.27038451212949,78.61329743837129,1.2076110714087298,1.2855666733135716,1.6850157079902677,1.7937894819688893
2022,27.993333333333332,27.558333333333334,27.558333333333334,13439187,11116027,1.208991935697889,33.31780276127433,289796,21444222,73.99764662038123,34.692210383871505,77.05015672430426,34.64155409347655,76.93765091764577,1.181815051664671,1.2626464970646274,1.6431685758618604,1.7555547659307844
2023,29.619166666666665,28.938333333333333,28.938333333333333,14234048,11798062,1.2064734021570662,34.9133294694219,293887,22775148,77.49627577946626,34.9133294694219,77.49627577946626,34.9133294694219,77.49627577946626,1.1893476320515144,1.272552410220251,1.6526824930776076,1.7683014059287503
